time,open,high,low,close,volume
2021-03-11 20:00:00,127.3,127.3,127.3,127.3,231
2021-03-11 19:45:00,127.18,127.5,127.18,127.5,200
2021-03-11 18:45:00,127.18,127.18,127.18,127.18,442
2021-03-11 18:30:00,127.17,127.17,127.17,127.17,602
2021-03-11 17:00:00,127.12,127.15,127.1,127.15,2020
2021-03-11 16:45:00,127.39,127.39,127.15,127.15,22639
2021-03-11 16:30:00,127.14,127.14,127.1,127.1,399
2021-03-11 16:15:00,127.14,127.15,127.1,127.1,71986
2021-03-11 16:00:00,127.24,127.37,126.91,127.14,523839
2021-03-11 15:45:00,127.28,127.28,127.06,127.23,237749
2021-03-11 15:30:00,127.33,127.34,127.19,127.27,296501
2021-03-11 15:15:00,127.46,127.52,127.29,127.3331,110801
2021-03-11 15:00:00,127.64,127.87,127.44,127.47,171572
2021-03-11 14:45:00,127.595,127.79,127.573,127.6325,119966
2021-03-11 14:30:00,127.74,127.85,127.54,127.5974,93103
2021-03-11 14:15:00,127.63,127.9,127.63,127.735,85113
2021-03-11 14:00:00,127.64,127.79,127.58,127.6201,103687
2021-03-11 13:45:00,127.78,127.83,127.57,127.64,185708
2021-03-11 13:30:00,127.864,127.95,127.6927,127.7731,67982
2021-03-11 13:15:00,127.74,128.0,127.7065,127.87,81014
2021-03-11 13:00:00,127.73,127.8342,127.52,127.76,87151
2021-03-11 12:45:00,127.77,127.92,127.66,127.75,74492
2021-03-11 12:30:00,128.045,128.14,127.71,127.78,136338
2021-03-11 12:15:00,128.37,128.42,128.04,128.0833,91784
2021-03-11 12:00:00,128.29,128.445,128.19,128.35,106757
2021-03-11 11:45:00,128.15,128.38,128.03,128.2948,130681
2021-03-11 11:30:00,128.43,128.47,128.06,128.15,168060
2021-03-11 11:15:00,128.33,128.49,128.2,128.43,133814
2021-03-11 11:00:00,128.46,128.64,128.25,128.358,263446
2021-03-11 10:45:00,127.24,128.48,127.21,128.475,217609
2021-03-11 10:30:00,127.17,127.24,126.98,127.24,230208
2021-03-11 10:15:00,127.37,127.38,127.03,127.2293,234954
2021-03-11 10:00:00,127.755,128.25,127.37,127.37,197673
2021-03-11 09:45:00,128.09,128.2,126.78,127.78,585533
2021-03-11 09:30:00,128.25,128.25,128.25,128.25,228
2021-03-11 09:15:00,128.1,128.25,128.1,128.15,2616
2021-03-11 09:00:00,128.08,128.38,128.08,128.38,2065
2021-03-11 08:45:00,128.08,128.15,128.08,128.15,1291
2021-03-11 08:30:00,128.25,128.25,128.08,128.08,548
2021-03-11 08:15:00,128.07,128.07,128.07,128.07,584
2021-03-11 08:00:00,128.3,128.3,128.3,128.3,100
2021-03-11 07:45:00,128.49,128.49,128.12,128.12,707
2021-03-11 07:15:00,128.17,128.17,128.11,128.11,553
2021-03-11 07:00:00,128.68,128.7,128.68,128.7,500
2021-03-11 06:30:00,128.18,128.18,128.18,128.18,458
2021-03-11 05:45:00,129.0,129.0,129.0,129.0,2095
2021-03-10 20:00:00,128.02,128.02,127.9,127.9,835
2021-03-10 19:45:00,127.9,127.9,127.9,127.9,2205
2021-03-10 19:30:00,127.9,127.9,127.9,127.9,496
2021-03-10 19:00:00,127.9,127.9,127.9,127.9,400
2021-03-10 17:45:00,127.9,127.9,127.9,127.9,400
2021-03-10 17:15:00,127.94,127.94,127.94,127.94,150
2021-03-10 16:30:00,127.87,127.89,127.87,127.89,202
2021-03-10 16:15:00,127.87,127.87,127.8,127.87,246505
2021-03-10 16:00:00,127.77,127.98,127.765,127.84,590255
2021-03-10 15:45:00,128.04,128.05,127.66,127.781,313950
2021-03-10 15:30:00,127.98,128.24,127.85,128.03,373604
2021-03-10 15:15:00,127.76,127.995,127.675,127.965,267406
2021-03-10 15:00:00,127.4689,127.84,127.35,127.75,239666
2021-03-10 14:45:00,127.85,127.86,127.435,127.48,128467
2021-03-10 14:30:00,127.58,127.89,127.5601,127.85,309070
2021-03-10 14:15:00,127.46,127.67,127.35,127.575,196392
2021-03-10 14:00:00,126.91,127.46,126.87,127.46,166033
2021-03-10 13:45:00,127.13,127.21,126.87,126.92,126570
2021-03-10 13:30:00,126.985,127.2786,126.7722,127.1387,117121
2021-03-10 13:15:00,127.0599,127.09,126.73,127.0,124695
2021-03-10 13:00:00,126.6,127.12,126.57,127.01,153825
2021-03-10 12:45:00,126.52,126.665,126.455,126.593,114712
